游戏名称,总游戏时间,最后运行日期,成就完成情况
Resident Evil Requiem,23.8 小时,3月5日,49/49
彩虹六号：围攻,"1,202.7 小时",2023年11月2日,0/48
Wallpaper Engine：壁纸引擎,569.6 小时,3月7日,14/17
Apex Legends,289 小时,2024年5月14日,12/12
HELLDIVERS™ 2,287.6 小时,2月15日,38/38
DARK SOULS™ III,241.6 小时,2025年11月21日,36/43
Red Dead Redemption 2,238 小时,2025年11月20日,33/51
艾尔登法环,227.1 小时,2025年8月13日,42/42
Monster Hunter: World,207.8 小时,2025年8月20日,53/100
Grand Theft Auto V 传承版,192.1 小时,2021年8月4日,20/77
赛博朋克 2077,174.9 小时,2024年12月4日,33/57
Watch_Dogs 2,133.8 小时,2020年7月9日,0/55
METAL GEAR SOLID V: THE PHANTOM PAIN,130.3 小时,昨天,32/42
Mortal Kombat 11,128.4 小时,2月10日,22/58
Sekiro™: Shadows Die Twice,132.6 小时,2月11日,31/34
巫师 3：狂猎,122.4 小时,2025年12月27日,44/78
HITMAN World of Assassination,119.8 小时,3月7日,57/83
Dying Light,116.1 小时,2025年9月20日,48/78
艾尔登法环 黑夜君临,114.2 小时,1月6日,37/37
MONMUSU,107.6 小时,2019年12月23日,12/12
Just Cause 3,106 小时,2022年9月14日,46/66
刺客信条：起源,102.3 小时,2021年7月26日,46/67
命运2,100.5 小时,2022年9月14日,12/23
使命召唤®,91.1 小时,2025年10月11日,21/157
Portal Knights,84.2 小时,2020年5月15日,26/40
放松时光：与你共享Lo-Fi故事,81 小时,1月3日,16/23
Tom Clancy's The Division,80.7 小时,2025年8月29日,42/60
女神异闻录３ Reload,76.9 小时,2025年10月23日,52/56
Titanfall® 2,74.8 小时,2025年1月17日,50/50
DARK SOULS™: REMASTERED,72.2 小时,2021年11月9日,29/41
gogh: 虚拟形象与专注,71.9 小时,1月27日,28/77
PAYDAY 2,69.4 小时,2023年9月11日,185/1328
Dishonored 2,66.9 小时,2025年2月13日,29/50
Banana,64.6 小时,2024年6月19日,1/76
Devil May Cry 5,62.9 小时,2025年11月19日,33/55
Ready or Not,61.8 小时,2025年7月21日,14/66
天国：拯救2,60.5 小时,1月15日,23/83
DEATH STRANDING,59.4 小时,2022年7月3日,50/63
Beat Saber,57.2 小时,3月10日,12/26
为了吾王 / For The King,56.5 小时,2月17日,51/78
DARK SOULS™ II: Scholar of the First Sin,60 小时,2月5日,23/38
Middle-earth™: Shadow of War™,53.5 小时,2019年12月21日,37/72
极限竞速：地平线 5,52.7 小时,3月10日,50/164
无主之地3,49.8 小时,2023年6月7日,47/81
Ghost of Tsushima导演剪辑版,49.3 小时,1月1日,36/77
The Elder Scrolls V: Skyrim Special Edition,48.3 小时,2019年6月10日,28/75
战锤40K：暗潮,47.9 小时,2月1日,17/36
METAL GEAR SOLID Δ: SNAKE EATER,55.6 小时,3月10日,45/45
PUBG: BATTLEGROUNDS,47.6 小时,2023年5月31日,0/37
HITMAN™,47.3 小时,2018年11月9日,29/69
神界：原罪2 - 终极版,47 小时,2022年8月6日,35/97
