game_name,reason
METAL GEAR SOLID V: THE PHANTOM PAIN,no_cover_image
MONMUSU,no_cover_image
Tom Clancy's The Division,no_cover_image
DEATH STRANDING DIRECTOR'S CUT,no_cover_image
Sid Meier's Civilization VI,no_cover_image
Assassin's Creed® III,no_cover_image
桌面萌娘MMD,no_cover_image
METAL GEAR SOLID V: GROUND ZEROES,no_cover_image
Tom Clancy's Rainbow Six Siege - Test Server,no_cover_image
PROTOTYPE 2,no_cover_image
Deadpool,no_cover_image
Marvel's Spider-Man: Miles Morales,no_cover_image
Assassin's Creed Rogue,no_cover_image
Mirror,no_cover_image
Subverse,no_cover_image
Mirror's Edge,no_cover_image
No Man's Sky 无人深空,no_cover_image
惩戒魅魔,no_cover_image
Garry's Mod,no_cover_image
LawBreakers,no_cover_image
Who's Your Daddy?!,no_cover_image
Assassin's Creed Liberation,no_cover_image
Patrick's Parabox,no_cover_image
VR Kanojo,no_cover_image
Alan Wake's American Nightmare,no_cover_image
EroPhone,no_cover_image
Plague Inc: Evolved,no_cover_image
东方夜雀食堂 - Touhou Mystia's Izakaya,no_cover_image
Hentai Girl,no_cover_image
Hellblade: Senua's Sacrifice,no_cover_image
Resident Evil 2 &quot;1-Shot Demo&quot;,no_cover_image
Hitman: Sniper Challenge,no_cover_image
Wwbit,no_cover_image
Max Payne,no_cover_image
Spider-Man: Far From Home Virtual Reality,no_cover_image
Call of Duty: Modern Warfare 2 (2009),no_cover_image
返校,no_cover_image
Call of Duty®: Modern Warfare® 3 (2011) - Multiplayer,no_cover_image
Deus Ex: Human Revolution - Director's Cut,no_cover_image
Hearts of Iron IV,no_cover_image
Hellblade: Senua's Sacrifice VR Edition,no_cover_image
Squad - 公开测试服,no_cover_image
Starbound - Unstable,no_cover_image
Tom Clancy's The Division PTS,no_cover_image
Viscera Cleanup Detail: Santa's Rampage,no_cover_image
